"THE SOLAR SYSTEM","None","Objects that pass closer to the sun than Mercury have been named for this mythological figure","Icarus"
"COMPOSERS","None","He moved to Vienna in 1766; in 1778 he presented his native Italy with the first opera staged at La Scala","Antonio Salieri"
"ALLIANCES","None","The Quadruple Alliance began in 1813 against this country; in 1818 it let this country in & became the Quintuple Alliance","France"
"EUROPEAN GOVERNMENT","None","In October 1998 this country got its 56th govt. since WWII, with its first Communist cabinet ministers in 50 years","Italy"
"YOUTH ORGANIZATIONS","None","This organization pledges it will strive for "clearer thinking... greater loyalty... larger service, and... better living" in that order","4H"
"HISTORICAL POEMS","None","Poem that tells us: "Cossack and Russian reel'd from the sabre-stroke shatter'd and sunder'd"","\"The Charge of the Light Brigade\""
"15th CENTURY MEN","None","In 1482 he told the Duke of Milan that he could "make armored wagons to carry artillery"","Leonardo da Vinci"
"PSYCHOLOGY TERMS","None","This 2-word term has its origins in a hostage-taking that followed the botched 1973 Norrmalmstorg bank robbery","Stockholm Syndrome"
"TV PERSONALITIES","None","In 1994 his alma mater, Sam Houston State University, named its journalism & communications building in his honor","Dan Rather"
"SPORTS MOVIES","None","Their team colors were yellow & white & they were originally sponsored by Chico's Bail Bonds","The Bad News Bears"
"CONGRESS","None","On Nov. 23, 1973 Yvonne Braithwaite Burke became the first member of Congress to do this while in office","Give Birth"
"WORD ORIGINS","None","From the Latin for "year" & "turn", it's literally "The turn of a year"","Anniversary (annus - year & verso - turn)"
"FILMS OF THE '70s","None","This 1973 thriller was re-released in 2000 with extra footage, including a scene in which Ritalin is prescribed","The Exorcist"
"ALLITERATIVE ATHLETES","None","In 1998 these 2 baseball rivals shared top honors as Sports Illustrated's Sportsmen of the Year","Sammy Sosa and Mark McGwire"
"TELEVISION","None","An allusion to "Arabian Nights", the title of this show suggests a magic door to knowledge","Sesame Street"
"MOVIE SOUNDTRACKS","None",""You Can Leave Your Hat On" & "The Stripper" are on the soundtrack of this 1997 Oscar-nominated movie","The Full Monty"
"WORD & PHRASE ORIGINS","None","This term was first used in an ice cream trade journal in 1937; it began to appear in the nuclear power industry in the '60s","meltdown"
"FLAGS","None","On February 15, 1965 this country raised its new national flag for the first time on Parliament Hill","Canada"
"PEOPLES OF THE WORLD","None","Numbering about 25 million, they're the largest ethnic group in the world with no home nation","the Kurds"
"THE GRAMMYS","None","In 1959 the first Grammy for album of the year went to the soundtrack composed by Henry Mancini for this TV show","Peter Gunn"
"RULERS","None","In 44 B.C. he was made dictator for life, a post abolished after he died the same year","Julius Caesar"
"POETS","None","One of her poems says, "I was ten when they buried you.  At twenty I tried to die and get back, back, back to you"","Sylvia Plath"
"BIBLICAL JOURNEYS","None","2 names: A man journeying & his country of destination in both Genesis 39 & Matthew 2","Joseph and Egypt"
"1950s FICTION","None","Later translated into Russian by the author, it was dubbed both one of the best books of 1955 & one of the filthiest","Lolita"
"WORLDWIDE MEDIA","None","The name for this news agency means "peninsula", referring to the Arabian peninsula","Al Jazeera"
"U.S PRESIDENTS","None","A native Kentuckian, he was the first president born outside of the original 13 states","Abraham Lincoln"
"PRESIDENTIAL BIRTHPLACES","None","4 U.S. presidents serving in 3 different centuries have been born in the same county in this state","Massachusetts"
"AFI's TOP 100 MOVIE QUOTES","None","This quote, No. 31 on the list, comes 2 minutes after the No. 1 quote, & is the last line of its movie","After all, tomorrow is another day!"
"GEOGRAPHY","None","It's Europe's second-largest island","Iceland"
"COMMON BONDS","None","All the correct responses in the category "THIS'LL KILL YA!" are integral to this, introduced in the 1940s","Clue"
"U.S. CITIES","None","The name of this Iowa city commemorates the powwow Lewis & Clark held with area Indians in 1804","Council Bluffs"
"PRESIDENTIAL ELECTIONS","None","He's the only GOP presidential nominee to lose 2 presidential elections","Thomas E. Dewey (1944 & 1948)"
"MONARCHIES","None","1 of the 2 largely German-speaking monarchies in the world; they're about 250 miles apart","(1 of) Liechtenstein & Luxembourg"
"COUNTRIES OF THE WORLD","None","This independent nation is the only Hindu kingdom in the world","Nepal"
"CHILDREN'S AUTHORS","None","After WWI he wrote, "To develop a horse-surgery… would necessitate a knowledge of horse language"","Hugh Lofting (author of the Doctor Doolittle books)"
"THE CIVIL WAR","None","These 2 cities in the Southeast & Southwest were the only 2 Confederate state capitals not captured by Union forces","Tallahassee & Austin"
"FICTIONAL PLACES","None","Wilton, Connecticut, a quiet, affluent town near New York City, was the basis for this title town in a 1972 novel","Stepford"
"CHILDREN'S THEATRE","None","1904 British play that includes the line "To die will be an awfully big adventure"","Peter Pan"
"MUSIC & THE MOVIES","None","The soundtrack of this 1992 film is the bestselling movie soundtrack of the 1990s","The Bodyguard"
"THE HUMAN BODY","None","It's the body part where you'll find the Mount of Apollo, the Mount of the Moon & the Girdle of Venus","(The palm of) The Hand"
"THE SPACE SHUTTLE","None","2 of the 3 states where astronauts have landed the space shuttle","(2 of) Florida, California, New Mexico"
"THE HEISMAN TROPHY","None","One of the 2 Heisman Trophy winners who share their surnames with U.S. presidents","(One of) Reggie Bush or Bo Jackson"
"BIG BOOKS","None","When they began in 1879, the creators of this thought they'd finish in 10 years; 5 years later, they reached "ant"","the Oxford English Dictionary"
"GOING TO THE DOGS","None","Their name comes from their being bred to crouch in front of prey that the hunter then captured with a net","setters"
"THE 20th CENTURY","None","On October 16, 1964 at Lop Nor this nation detonated its first nuclear device","China"
"MATERIALS","None","The name of the sheet seen here is derived from the name of this material","Celluloid"
"BUSINESS","None","In 1951 this company whose origins date back to 1876 became the first U.S. company to have 1 million stockholders","AT&T"
"ROCKS & MINERALS","None","Mines near Ticonderoga, New York were once the USA's principal source for this 8-letter mineral","graphite"
"THE KING JAMES BIBLE","None","A Gospel & a book of the Old Testament each start with these same 3 words","In the beginning"
"COMPANY ORIGINS","None","This Fortune 100 company got its name from what it bought from sailors & sold to natural history collectors","Shell Oil"
"EUROPEAN HISTORY","None","So Prussia could dominate Germany, Bismarck excluded this country that lost the 1866 Battle of Koniggratz","Austria"
"AMERICAN LITERATURE","None",""The Scarlet Letter" says, "to forbid the culprit to hide his face... was the essence of" this 7-letter punishment","the pillory"
"POLITICALLY CORRECT POP CULTURE","None","The violence goes on, but in 2006 Time Warner TV removed depictions of this activity from old "Tom and Jerry" cartoons","smoking"
"20th CENTURY HISTORY","None","The NKVD, which liquidated its own first 2 chiefs in the 1930s, developed into this group in 1954","the KGB"
"SILENT MOVIES","None","A special 1996 comic book put Superman in the world of this classic 1926 German film","Metropolis"
"BILLBOARD MAGAZINE","None","Launched in 2004, Billboard's first Top 20 chart for these included "My Boo", the "Halloween" theme & "Ice Ice Baby"","ringtones"
"AUTHORS","None","In June 1998 a museum dedicated to this author opened in Salinas, California","John Steinbeck"
"THE BRITISH ISLES","None","Britain's oldest known scrap of material called this, sometimes identified as shepherd's plaid, dates from 250 A.D.","tartan"
"MUSICAL THEATER","None","The basis of this show that won a Best Musical Tony & a Pulitzer was a collection of stories that won the Pulitzer in 1948","South Pacific"
"TV SITCOMS","None","For your information, this series that premiered in 1988 is TV's longest-running sitcom still on the air","Murphy Brown"
"HISTORIC AMERICANS","None","General Winfield Scott called him "the very best soldier I ever saw in the field"","Robert E. Lee"
"OLYMPIC VENUES","None","At above 7,000 feet, this western hemisphere city had the highest altitude ever of a Summer Olympics host city","Mexico City"
"INVENTORS","None","In 1823 this Scot obtained a patent for a process that made silk, paper & "other substances impervious to water and air"","(Charles) Macintosh"
"U.S. MILITARY MATTERS","None","In 1933 what was known as The Militia Bureau was officially renamed this","The National Guard"
"COUNTRIES","None","In only 2 cases can you add 2 letters to one country & get another country: Austria/Australia & this pair","Niger/Nigeria"
"THE ACADEMY AWARDS","None","Last names of the 2 famous families in which 3 generations have won Oscars","Huston and Coppola"
"CHAMPIONSHIP SPORTS","None","In 2007 this university became the 1st to hold national titles in both football & basketball in the same year","the University of Florida"
"NUTRITION","None","By virtue of the great quantity eaten, this vegetable is the leading source of vitamin C in the American diet","potato"
"SOUTH AMERICA","None","Henck Arron was prime minister of this country when it gained its independence in 1975","Suriname (formerly Dutch Guyana)"
"THE OSCARS","None","Only Pulitzer Prize-winning novels to become Oscar-winning “Best Pictures” are “All The King's Men” & this one","Gone with the Wind"
"SPORTS","None","Last awarded in 1970, the Jules Rimet Cup was replaced by this trophy in 1974","The World Cup (of soccer)"
"PRESIDENTIAL BIRTHPLACES","None","20th century president whose birthplace is depicted here","Herbert Hoover"
"ON THE MONEY","None","Of the 7 men pictured on the front of currently printed U.S. currency, the 3 who never lived in the White House","Benjamin Franklin, Alexander Hamilton & George Washington"
"PRESIDENTIAL INAUGURATIONS","None","His second inauguration marked the first time that women officially participated in the inaugural parade","Woodrow Wilson"
"STATE FACTS","None","In August 1959 a coin toss helped Hiram L. Fong become this state's senior senator","Hawaii"
"WORD HISTORIES","None","In old philosophy this 12-letter word referred to a fifth substance, superior to earth, air, fire or water","quintessence"
"SCIENCE NEWS","None","Made available for download in July 2000 by UCSC, the 739MB file of this "Project" consists of As, Ts, Gs & Cs","The Human Genome Project"
"BUSINESS & INDUSTRY","None","1 of the top 10 companies that operated food services in 1964, in 1994 its lunch counters ranked No. 264","Woolworth's"
"FILMS OF THE '60s","None","In the top films of 2 consecutive years in the 1960s, she played a nanny & a governess","Julie Andrews"
"MODERN AMERICAN NOVELS","None","The title of this 1981 Pulitzer Prize winner comes from a Jonathan Swift line about how lesser minds unite to oppose genius","A Confederacy of Dunces (by John Kennedy Toole)"
"GEOGRAPHIC TERMS","None","This area that includes several countries got its name because the colonizers spoke Spanish, French & Portuguese","Latin America"
"LITERARY CHARACTERS","None","This hero is the son of Ecgtheow & the grandson of Hrethel","Beowulf"
